"a","b"
1,0.87
2,0.51
3,0.29
4,0.13
5,0.95
6,0.62
7,0.34
8,0.17
9,0.28
10,0.7
11,0.83
12,0.1
13,0.36
14,0.31
15,0.56
16,0.47
17,0.37
18,0.49
19,0.27
20,0.83
21,0.49
22,0.63
23,0.54
24,0.16
25,0.9
26,0.92
27,0.33
28,0.52
29,0.91
30,0.22
31,0.43
32,0.1
33,0.46
34,0.22
35,0.78
36,0.31
37,0.57
38,0.47
39,0.65
40,0.27
41,0.65
42,0.06
43,0.47
44,0.22
45,0.37
46,0.28
47,0.23
48,0.22
49,0.58
50,0.28
51,0.74
52,0.56
53,0.73
54,0.12
55,0.4
56,0.62
57,0.27
58,0.68
59,0.23
60,0.37
61,0.27
62,0.02
63,0.06
64,0.15
65,0.61
66,0.54
67,0.97
68,0.29
69,0.96
70,0.68
71,0.81
72,0.21
73,0.72
74,0.85
75,0.16
76,0.73
77,0.66
78,0.45
79,0.92
80,0.25
81,0.43
82,0
83,0.16
84,0.66
85,0.5
86,0.1
87,0.53
88,0.21
89,0.98
90,0.36
91,0.4
92,0.87
93,0.27
94,0.46
95,0.52
96,0.96
97,0.89
98,0.16
99,0.68
100,0.06
101,0.03
102,0.28
103,0.39
104,0.06
105,0.96
106,0.52
107,0.29
108,0.91
109,0.14
110,0.44
111,0.24
112,0.29
113,0.64
114,0.3
115,0.01
116,0.72
117,0.16
118,0.22
119,0.54
120,0.2
121,0.33
122,0.49
123,0.69
124,0.74
125,0.64
126,0.69
127,0.59
128,0.16
129,0.43
130,0.44
131,0.23
132,0.47
133,0.69
134,0.74
135,0.46
136,0.56
137,0.37
138,0.83
139,0.59
140,0.01
141,0.11
142,0.76
143,0.61
144,0.14
145,0.04
146,0.82
147,0.23
148,0.53
149,0.28
150,0.33
151,0.28
152,0.85
153,0.66
154,0.62
155,0.05
156,0.06
157,0.05
158,0.83
159,0.16
160,0.05
161,0.05
162,0.36
163,0.72
164,0.9
165,0.26
166,0.09
167,0.48
168,0.82
169,0.88
170,0.2
171,0.61
172,0.12
173,0.52
174,0.32
175,0.7
176,0.51
177,0.84
178,0.03
179,0.94
180,0.05
181,0.62
182,0.02
183,0.96
184,0.82
185,0.96
186,0.74
187,0.66
188,0.77
189,0.84
190,0.29
191,0.69
192,0.11
193,0.46
194,0.67
195,0.26
196,0.15
197,0.54
198,0.08
199,0.57
200,0.95
201,0.83
202,0.27
203,0.49
204,0.35
205,0.64
206,0.81
207,0.3
208,0.54
209,0.4
210,0.73
211,0.87
212,0.76
213,0.02
214,0.87
215,0.32
216,0.77
217,0.23
218,0.62
219,0.38
220,0.61
221,0.8
222,0.41
223,0.82
224,0.38
225,0.03
226,0.65
227,0.53
228,0.97
229,0.96
230,0.99
231,0.55
232,0.02
233,0.88
234,0.52
235,0.41
236,0.41
237,0.22
238,0.26
239,0.32
240,0.59
241,0.31
242,0.87
243,0.05
244,0.18
245,0.21
246,0.25
247,0.46
248,0.8
249,0.79
250,0.83
251,0.48
252,0.98
253,0.77
254,0.13
255,0.64
256,0.52
257,0.97
258,0.14
259,0.6
260,0.97
261,0.69
262,0.44
263,0.48
264,0.91
265,0.1
266,0.68
267,0.59
268,0.75
269,0
270,0.29
271,0.04
272,0.55
273,0.43
274,0.78
275,0.64
276,0.32
277,0.46
278,0.77
279,0.85
280,0.18
281,0.88
282,0.49
283,0.87
284,0.51
285,0.68
286,0.94
287,0.51
288,0.67
289,0.36
290,0.34
291,0.12
292,0.18
293,0.71
294,0.19
295,0.45
296,0.99
297,0.45
298,0.88
299,0.83
300,0.71
301,0.2
302,0.17
303,0.52
304,0.01
305,0.94
306,0.75
307,0.21
308,0.85
309,0.24
310,0.64
311,0.34
312,0.37
313,0.48
314,0.68
315,0.69
316,0.91
317,0.22
318,0.06
319,0.44
320,0.26
321,0.37
322,0.7
323,0.38
324,0.51
325,0.9
326,0.79
327,0.38
328,0.05
329,0.05
330,0.62
331,0.67
332,0.7
333,0.06
334,0.96
335,0.9
336,0.83
337,0.33
338,0.33
339,0.82
340,0.33
341,0.98
342,0.16
343,0.85
344,0.81
345,0.75
346,0.15
347,0.15
348,0.54
349,0.93
350,0.64
351,0.37
352,0.23
353,0.09
354,0.04
355,0.25
356,0.23
357,0.83
358,0.97
359,0.2
360,0.93
361,0.35
362,0.09
363,0.78
364,0.51
365,0.1
366,0.41
367,0.84
368,0.75
369,0.46
370,0.51
371,0.23
372,0.83
373,0.13
374,0.17
375,0.84
376,0.63
377,0.12
378,0.2
379,0.01
380,0.95
381,0.23
382,0.86
383,0.89
384,0.76
385,0.5
386,0.73
387,0.38
388,0.99
389,0.66
390,0.73
391,0.6
392,0.6
393,0.67
394,0.7
395,0.19
396,0.39
397,0.62
398,0.59
399,0.69
400,0.39
401,0.39
402,0.57
403,0.47
404,0.8
405,0.74
406,0.25
407,0.4
408,0.75
409,0.95
410,0.66
411,0.98
412,0.4
413,0.11
414,0.86
415,0.57
416,0.16
417,0.08
418,0.96
419,0.52
420,0.7
421,0.97
422,0.13
423,0.88
424,0.14
425,0.03
426,0.28
427,0.63
428,0.68
429,0.95
430,0.94
431,0.69
432,0.7
433,0.75
434,0.9
435,0.77
436,0.73
437,0.49
438,0.04
439,0.45
440,0.17
441,0.09
442,0.43
443,0.39
444,0.76
445,0.93
446,0.2
447,0.98
448,0.05
449,0.19
450,0.15
451,0.34
452,0.01
453,0.73
454,0.44
455,0.34
456,0.95
457,0.79
458,0.69
459,0.39
460,0.89
461,0.97
462,0.84
463,0.16
464,0.52
465,0.37
466,0.74
467,0.16
468,0.24
469,0.34
470,0.3
471,0.36
472,0.91
473,0.81
474,0.4
475,0.46
476,0.13
477,0.46
478,0.68
479,0.62
480,0.53
481,0.59
482,0.08
483,0.58
484,0.58
485,0.41
486,0.79
487,0.73
488,0.87
489,0.88
490,0.69
491,0.74
492,0.42
493,0.63
494,0.61
495,1
496,0.84
497,0.58
498,0.08
499,0.45
500,0.34
